Log file produced by: Storyboard Pro (StoryboardPro.exe) version 25.0.0 build 23967 2025-06-05 18:44:20
﻿2026-04-01 17:48:18;ACTION;Start Paste Panel(s) (SBU_SboardUtil.cpp,5019)
﻿  2026-04-01 17:50:19;Delete;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-47.tvg~; OK 
﻿  2026-04-01 17:50:19;Delete;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/ACTcidentMAIN-260401.aux~; OK 
﻿  2026-04-01 17:50:19;Delete;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/scene.versionTable~; OK 
﻿2026-04-01 17:50:19;ACTION;End Saving project
﻿2026-04-01 17:50:50;ACTION;Start Closing project
﻿  2026-04-01 17:50:50;Delete;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/ACTcidentMAIN-260401.sboard.lock; OK 
﻿  2026-04-01 17:51:07;Delete;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d; OK 
﻿  2026-04-01 17:51:07;Delete;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.e; OK 
﻿  2026-04-01 17:51:07;Delete;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements; OK 
﻿  2026-04-01 17:51:07;Delete;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700; OK 
﻿2026-04-01 17:51:07;ACTION;End Closing project
